Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
Avatar The Last Airbender: Quest for Balance (English),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP0283-PPSA04340_00-6295996030780486,30%,HK$398.00,HK$278.60,13/3/2024 03:59 PM UTC,2.57,274,"Action, Adventure, Adventure",8/10/2023
"Teslagrad Remastered PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP4735-PPSA13887_00-TESLAGRAD1RM0000,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,4.04,28,Adventure,19/4/2023
"Demoniaca: Everlasting Night PS4 & PS5 (Simplified Chinese, English)",eastasiasoft,https://store.playstation.com/en-hk/product/UP2005-PPSA04914_00-DEMONIACA0000000,60%,HK$108.00,HK$43.20,13/3/2024 03:59 PM UTC,3.77,77,"Action, Action",11/1/2022
"In Sound Mind (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP4735-PPSA01932_00-ISM0000000000000,80%,HK$268.00,HK$53.60,13/3/2024 03:59 PM UTC,4.5,212,Horror,1/10/2021
DreamWorks All-Star Kart Racing (English),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP0283-PPSA15482_00-0556027350219949,30%,HK$308.00,HK$215.60,13/3/2024 03:59 PM UTC,3.77,61,"Action, Casual, Driving/Racing",3/11/2023
MudRunner - American Wilds Expansion (English Ver.),Focus Entertainment,https://store.playstation.com/en-hk/product/UP4133-CUSA09936_00-ASIA000000000000,60%,HK$79.00,HK$31.60,13/3/2024 03:59 PM UTC,3.97,72,Simulation,28/10/2018
Cobra Kai 2: Dojos Rising (English),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP0283-PPSA04644_00-4810208968054641,70%,HK$398.00,HK$119.40,13/3/2024 03:59 PM UTC,2.92,253,"Action, Fighting",7/11/2022
DreamWorks Trolls Remix Rescue (English),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP0283-PPSA13624_00-TROLLSTHEGAME000,30%,HK$398.00,HK$278.60,13/3/2024 03:59 PM UTC,2.95,21,Adventure,27/10/2023
Monster Energy Supercross - The Official Videogame 4 (English),Milestone S.r.l.,https://store.playstation.com/en-hk/product/EP4356-PPSA01608_00-SUPERCROSS4FGAME,85%,HK$238.00,HK$35.70,13/3/2024 03:59 PM UTC,3.27,483,Driving/Racing,10/3/2021
"God of Rock PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP2080-PPSA10821_00-GODOFROCKP5US000,60%,HK$238.00,HK$95.20,13/3/2024 03:59 PM UTC,3.09,23,Fighting,17/4/2023
MXGP2 - The Official Motocross Videogame (English),Milestone S.r.l.,https://store.playstation.com/en-hk/product/EP4356-CUSA02022_00-ASIA000000000000,90%,HK$108.00,HK$10.80,13/3/2024 03:59 PM UTC,3.62,2.6k,Driving/Racing,21/11/2016
Ride 2 (English),Milestone S.r.l.,https://store.playstation.com/en-hk/product/EP4356-CUSA05921_00-ASIA000000000000,90%,HK$198.00,HK$19.80,13/3/2024 03:59 PM UTC,4.41,3.3k,Driving/Racing,19/2/2017
"Project Nightmares Case 36: Henrietta Kedward (Simplified Chinese, English, Korean, Japanese)",FEARDEMIC SP. Z O.O.,https://store.playstation.com/en-hk/product/HP3473-PPSA16028_00-0253960765643608,50%,HK$148.00,HK$74.00,13/3/2024 03:59 PM UTC,2.75,63,"Action, Horror",26/4/2023
"Natsuki Chronicles (English, Japanese)",Rising Star Games,https://store.playstation.com/en-hk/product/EP4034-CUSA26074_00-NATSUKICHRON00EU,90%,HK$148.00,HK$14.80,13/3/2024 03:59 PM UTC,4.81,131,Arcade,23/2/2021
Dreamfall Chapters (English Ver.),PLAION,https://store.playstation.com/en-hk/product/UP2047-CUSA07307_00-ASIA000000000000,90%,HK$194.00,HK$19.40,13/3/2024 03:59 PM UTC,4.43,911,Adventure,9/5/2017
"Them's Fightin' Herds PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP4735-PPSA06722_00-TFH0000000000000,70%,HK$238.00,HK$71.40,13/3/2024 03:59 PM UTC,4.43,159,Action,17/10/2022
"Yuoni (Simplified Chinese, English, Japanese, Traditional Chinese)",Chorus WorldWide Limited,https://store.playstation.com/en-hk/product/JP0211-PPSA02510_00-CHOR0000000020DJ,50%,HK$148.00,HK$74.00,13/3/2024 03:59 PM UTC,2.47,96,"Adventure, Horror",18/8/2021
In rays of the Light (English),EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09186_00-SYPS5THELIGHTREM,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,3.79,384,Adventure,6/9/2022
"Time Carnage (Simplified Chinese, English)",Wales Interactive,https://store.playstation.com/en-hk/product/EP4459-CUSA10391_00-TIMECARNAGEPS4VR,60%,HK$148.00,HK$59.20,13/3/2024 03:59 PM UTC,4.23,282,"Action, Shooter, Action",22/5/2022
"WW2: Bunker Simulator (Simplified Chinese, English, Japanese)",Art Games Studio S.A.,https://store.playstation.com/en-hk/product/HP7394-CUSA35383_00-8020429988390414,60%,HK$198.00,HK$79.20,13/3/2024 03:59 PM UTC,3.19,52,"Action, Simulator",12/10/2022
The Sisters 2 - Road to Fame (English),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP1475-PPSA15459_00-SISTERS2PS5000US,40%,HK$308.00,HK$184.80,13/3/2024 03:59 PM UTC,4.5,4,Party,30/11/2023
Freezer Pops PS4 & PS5 (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA08999_00-FREEZERPOPS00000,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,3.82,50,Adventure,29/9/2022
Remorse: The List (English),FEARDEMIC SP. Z O.O.,https://store.playstation.com/en-hk/product/HP3473-PPSA17789_00-0466844891396357,50%,HK$148.00,HK$74.00,13/3/2024 03:59 PM UTC,3.33,33,"Action, Horror",25/8/2023
STELLATUM (English),EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09182_00-SYPS5STELLATUM00,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,3.73,122,"Action, Arcade, Shooter",4/9/2022
Redeemer: Enhanced Edition (English),PLAION,https://store.playstation.com/en-hk/product/EP3617-CUSA15822_00-ASIA000000000000,90%,HK$235.00,HK$23.50,13/3/2024 03:59 PM UTC,4.19,648,Action,29/7/2019
"Murder House (English, Japanese)",Puppet Combo,https://store.playstation.com/en-hk/product/HP6784-CUSA30463_00-8083400478413028,20%,HK$108.00,HK$86.40,13/3/2024 03:59 PM UTC,4.73,586,Horror,6/4/2022
"A Musical Story PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",eastasiasoft,https://store.playstation.com/en-hk/product/JP0078-PPSA06871_00-AMUSICALSTORY000,50%,HK$108.00,HK$54.00,13/3/2024 03:59 PM UTC,4.5,32,Music/Rhythm,26/4/2023
"DEADCRAFT Deluxe Edition (Simplified Chinese, English, Japanese, Traditional Chinese)",Marvelous Inc.,https://store.playstation.com/en-hk/product/JP0507-PPSA04475_00-DEADCRAFTDELUXEE,70%,HK$273.00,HK$81.90,13/3/2024 03:59 PM UTC,4.3,222,"Simulation, Action",18/5/2022
Skully (English/Chinese Ver.),RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP4735-CUSA19102_00-00000000SKULLYUS,75%,HK$238.00,HK$59.50,13/3/2024 03:59 PM UTC,3.66,73,"Adventure, Puzzle",3/8/2020
Game Tengoku CruisinMix (Game),KADOKAWA CORPORATION,https://store.playstation.com/en-hk/product/JP0117-CUSA09087_00-ASIA000000000000,70%,HK$283.00,HK$84.90,13/3/2024 03:59 PM UTC,4.45,236,Shooter,29/11/2017
"Nun Massacre (English, Korean, Japanese)",Puppet Combo,https://store.playstation.com/en-hk/product/HP6784-CUSA31713_00-4984014704681299,20%,HK$38.00,HK$30.40,13/3/2024 03:59 PM UTC,4.74,730,"Horror, Adventure, Puzzle",23/3/2022
"In Nightmare (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Maximum Entertainment,https://store.playstation.com/en-hk/product/UP2080-CUSA28257_00-INNIGHTMARE00000,70%,HK$148.00,HK$44.40,13/3/2024 03:59 PM UTC,3.55,49,Horror,28/3/2022
"Trigger Witch PS4 & PS5 (English, Japanese, Traditional Chinese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA03113_00-TRIGGERWITCH0000,60%,HK$108.00,HK$43.20,13/3/2024 03:59 PM UTC,4.42,126,Unique,20/1/2022
"Hentai vs. Evil PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA03567_00-HNTVSEVL00000000,65%,HK$78.00,HK$27.30,13/3/2024 03:59 PM UTC,4.01,550,"Action, Shooter",26/5/2021
"Pretty Girls Mahjong Solitaire PS4 & PS5 (English, Japanese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA04910_00-PGMAHJONGSOLITAI,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,4.07,97,Puzzle,6/10/2021
Bound by Flame™ full game (English Ver.),Focus Entertainment,https://store.playstation.com/en-hk/product/UP4133-CUSA00459_00-ASIABOUNDGAME000,80%,HK$78.00,HK$15.60,13/3/2024 03:59 PM UTC,3.64,5.9k,Role Playing Games,23/6/2014
Alphadia Genesis (English),KEMCO,https://store.playstation.com/en-hk/product/UP2500-PPSA04343_00-US0ALPHAG0000PS5,45%,HK$117.00,HK$64.35,13/3/2024 03:59 PM UTC,4.0,64,Role Playing Games,15/7/2021
MXGP 2019 - The Official Motocross Videogame (English),Milestone S.r.l.,https://store.playstation.com/en-hk/product/EP4356-CUSA15295_00-ASIA000000000000,90%,HK$238.00,HK$23.80,13/3/2024 03:59 PM UTC,4.01,399,Driving/Racing,27/8/2019
"Bahnsen Knights (English, Japanese)",Chorus WorldWide Limited,https://store.playstation.com/en-hk/product/JP0211-PPSA15344_00-0462727384838656,20%,HK$78.00,HK$62.40,13/3/2024 03:59 PM UTC,4.31,16,Adventure,17/1/2024
Valfaris (English/Chinese/Korean/Japanese Ver.),eastasiasoft,https://store.playstation.com/en-hk/product/JP0078-CUSA17815_00-ASIA000000000000,70%,HK$188.00,HK$56.40,13/3/2024 03:59 PM UTC,4.62,548,Action,23/1/2020
"Curved Space (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RIPPLES ASIA VENTURE PTE LTD,https://store.playstation.com/en-hk/product/UP2080-PPSA02817_00-CURVEDSPACE00000,80%,HK$148.00,HK$29.60,13/3/2024 03:59 PM UTC,4.32,22,Arcade,28/6/2021
Mars Base (English),KZ Games Pty Ltd,https://store.playstation.com/en-hk/product/HP8385-PPSA19112_00-0806583507111154,50%,HK$108.00,HK$54.00,13/3/2024 03:59 PM UTC,2.92,12,"Role Playing Games, Simulator",24/10/2023
"Pretty Girls Klondike Solitaire PS4 & PS5 (English, Japanese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA04318_00-PGKLONDSOLITAIRE,50%,HK$47.00,HK$23.50,13/3/2024 03:59 PM UTC,4.04,128,Puzzle,16/6/2021
I Am Setsuna (English Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/UP0082-CUSA04770_00-ASIAETSUNAGAME00,70%,HK$279.00,HK$83.70,13/3/2024 03:59 PM UTC,4.5,5.9k,"Role Playing Games, Role Playing Games",25/7/2016
Ikenie to Yuki no Setsuna (Japanese Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-CUSA03385_00-ASIA000000000000,70%,HK$268.00,HK$80.40,13/3/2024 03:59 PM UTC,4.5,5.9k,"Role Playing Games, Role Playing Games",17/2/2016
,,https://store.playstation.com/en-hk/product/JP5361-CUSA23860_00-KAIRO00000052000,,,,,,,,
"Active Neurons - Puzzle Game (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09184_00-SYPS5ACTIVENEURO,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,4.37,140,"Casual, Puzzle, Family",15/9/2022
SENKO NO RONDE2 (Game),KADOKAWA CORPORATION,https://store.playstation.com/en-hk/product/JP0117-CUSA08311_00-ASIAONORONDE2000,75%,HK$268.00,HK$67.00,13/3/2024 03:59 PM UTC,4.51,85,Shooter,19/11/2017
Alphadia Genesis 2 (English),KEMCO,https://store.playstation.com/en-hk/product/UP2500-PPSA04344_00-US0ALPHAG0200PS5,45%,HK$117.00,HK$64.35,13/3/2024 03:59 PM UTC,4.47,45,Role Playing Games,5/8/2021
"HORROR TALES: The Wine PS4 & PS5 (Simplified Chinese, English, Japanese, Traditional Chinese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA04196_00-HORRORTALES00000,70%,HK$108.00,HK$32.40,13/3/2024 03:59 PM UTC,3.54,111,Horror,24/3/2022
Ion Fury (English),Fulqrum Publishing Ltd.,https://store.playstation.com/en-hk/product/EP2632-CUSA14704_00-IONFURY0000000EU,75%,HK$198.00,HK$49.50,13/3/2024 03:59 PM UTC,4.63,644,"Action, Shooter",13/5/2020
Silenced: The House (English),EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09404_00-SYPS5SILENCEDTHE,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,3.39,28,"Adventure, Adventure",27/10/2022
XenoRaptor (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA16817_00-XRPS4SIEADIGI001,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,3.93,15,"Arcade, Arcade, Shooter",17/1/2024
Brotherhood United (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA05470_00-BROTHERHOODUNITE,70%,HK$70.00,HK$21.00,13/3/2024 03:59 PM UTC,3.65,66,"Action, Arcade, Action",27/1/2022
"Drunken Fist 2: Zombie Hangover PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA06825_00-DRUNKENFIST20000,65%,HK$62.00,HK$21.70,13/3/2024 03:59 PM UTC,4.09,56,"Action, Fighting",21/6/2022
Haimrik (English),Fulqrum Publishing Ltd.,https://store.playstation.com/en-hk/product/EP2632-CUSA10251_00-HAIMRIKSIEE00002,85%,HK$148.00,HK$22.20,13/3/2024 03:59 PM UTC,4.04,49,"Action, Adventure, Puzzle",7/3/2022
"Bishoujo Battle Cyber Panic! (English, Japanese)",eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA04803_00-BISHOUJOBATTLECP,60%,HK$47.00,HK$18.80,13/3/2024 03:59 PM UTC,4.01,184,Puzzle,9/9/2021
Without Escape (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA05055_00-WITHOUTESCAPE000,70%,HK$38.00,HK$11.40,13/3/2024 03:59 PM UTC,3.69,221,"Adventure, Adventure, Adventure",7/10/2021
Without Escape (English Ver.),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-CUSA17995_00-WITHOUTESCAPE000,70%,HK$38.00,HK$11.40,13/3/2024 03:59 PM UTC,3.69,221,"Adventure, Adventure, Adventure",14/1/2020
"Rising Hell (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Chorus WorldWide Limited,https://store.playstation.com/en-hk/product/JP0211-CUSA23624_00-7259264721850613,40%,HK$78.00,HK$46.80,13/3/2024 03:59 PM UTC,4.59,111,Action,19/5/2021
Gaps by POWGI PS4 & PS5 (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA04345_00-GAPSBYPOWGI00000,70%,HK$62.00,HK$18.60,13/3/2024 03:59 PM UTC,4.44,27,Puzzle,19/7/2021
Coffin Dodgers (English/Korean/Japanese Ver.),Wales Interactive,https://store.playstation.com/en-hk/product/UP4459-CUSA04084_00-ASIA000000000000,60%,HK$87.00,HK$34.80,13/3/2024 03:59 PM UTC,3.47,1.1k,Driving/Racing,25/10/2016
DUCATI - 90th Anniversary (English),Milestone S.r.l.,https://store.playstation.com/en-hk/product/EP4356-CUSA05245_00-ASIA000000000000,90%,HK$78.00,HK$7.80,13/3/2024 03:59 PM UTC,3.83,1k,Driving/Racing,29/6/2016
"Deceive Inc. PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Tripwire Interactive,https://store.playstation.com/en-hk/product/UP0115-PPSA05408_00-7962076650946286,Trial,,Free,,3.98,167,"Action, Shooter, Adventure",21/3/2023
"Mask of Mists (Simplified Chinese, English)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09650_00-SYPS5MASKOFMISTS,60%,HK$108.00,HK$43.20,13/3/2024 03:59 PM UTC,4.08,36,Unique,20/9/2022
"Dungeons & Bombs (Simplified Chinese, English, Japanese, Traditional Chinese)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09202_00-SYPS5DUGEONSBOMB,60%,HK$38.00,HK$15.20,13/3/2024 03:59 PM UTC,3.08,24,Puzzle,11/9/2022
Liege Dragon (English),KEMCO,https://store.playstation.com/en-hk/product/UP2500-PPSA06451_00-US0LDRAGON000PS5,35%,HK$117.00,HK$76.05,13/3/2024 03:59 PM UTC,4.29,45,Role Playing Games,7/4/2022
Amazing Superhero Squad (English),EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA07869_00-SYPS5AMAZINGSUPE,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,2.46,13,Strategy,24/5/2022
Nefarious (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA12609_00-NEFPS4SIEADIGI00,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,4.29,143,"Action, Adventure, Action",17/1/2024
Frost (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA09146_00-FRPS4DIGISIEA000,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,3.82,51,"Strategy, Strategy",17/1/2024
Alphaset by POWGI (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-CUSA20389_00-ATOZBYPOWGI00000,70%,HK$62.00,HK$18.60,13/3/2024 03:59 PM UTC,4.41,54,"Casual, Family, Puzzle",25/8/2020
"Arkan: The Dog Adventurer (English, Japanese, Traditional Chinese)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09208_00-SYPS5ARKANTHEDOG,50%,HK$38.00,HK$19.00,13/3/2024 03:59 PM UTC,3.86,21,Arcade,14/9/2022
"GraviFire (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09204_00-SYPS5GRAVIFIRE00,60%,HK$38.00,HK$15.20,13/3/2024 03:59 PM UTC,3.48,25,Puzzle,12/9/2022
"Mind Maze (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09200_00-SYPS5MINDMAZE000,75%,HK$38.00,HK$9.50,13/3/2024 03:59 PM UTC,3.88,8,Puzzle,8/9/2022
"Dead Island Retro Revenge (Simplified Chinese, English, Korean, Japanese)",PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA01647_00-ASIA000000000000,80%,HK$44.00,HK$8.80,13/3/2024 03:59 PM UTC,3.71,1.7k,Arcade,27/9/2016
Skelly Selest (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA14686_00-SSPS4SIEADIGI001,30%,HK$78.00,HK$54.60,13/3/2024 03:59 PM UTC,3.66,44,"Action, Action, Shooter",17/1/2024
Albacete Warrior PS4 & PS5 (English),eastasiasoft,https://store.playstation.com/en-hk/product/UP2005-PPSA09596_00-ALBACETEWARRIOR0,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,3.5,8,"Action, Fighting, Action",31/1/2023
Crazy Strike Bowling EX (English Ver.),"Corecell Technology Co., Ltd.",https://store.playstation.com/en-hk/product/UP4252-CUSA04448_00-ASIA000000000000,50%,HK$87.00,HK$43.50,13/3/2024 03:59 PM UTC,3.91,137,Sport,1/6/2016
Sofiya and the Ancient Clan PS4 & PS5 (English),eastasiasoft,https://store.playstation.com/en-hk/product/UP2005-PPSA09000_00-SOFIYAATAC000000,60%,HK$62.00,HK$24.80,13/3/2024 03:59 PM UTC,3.24,55,Action,4/8/2022
Dakar 18 (English),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA11741_00-ASIA000000000000,85%,HK$560.00,HK$84.00,13/3/2024 03:59 PM UTC,3.57,1k,Driving/Racing,16/10/2018
Ari Vatanen returns to Dakar! (English Ver.),PLAION,https://store.playstation.com/en-hk/product/EP4062-CUSA11741_00-ASIA000000000001,80%,HK$18.00,HK$3.60,13/3/2024 03:59 PM UTC,4.33,6,Driving/Racing,26/10/2018
Escape from Life Inc (English),EVGENIY KOLPAKOV,https://store.playstation.com/en-hk/product/HP1792-PPSA09188_00-SYPS5ESCAPELIFEI,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,4.0,8,Adventure,7/9/2022
1979 Revolution: Black Friday (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA11750_00-1979BFRPS4SIEADI,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,4.0,326,"Adventure, Adventure",
Blindfold A Vérité VR Experience (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA12924_00-BLPSVRSIEADIGI00,30%,HK$18.00,HK$12.60,13/3/2024 03:59 PM UTC,2.69,172,"Adventure, Simulation",
Demetrios the BIG Cynical Adventure REPLASTERED (English),eastasiasoft,https://store.playstation.com/en-hk/product/HP2005-PPSA07156_00-DEMETRIOSPS50000,60%,HK$78.00,HK$31.20,13/3/2024 03:59 PM UTC,4.18,523,"Adventure, Unique, Adventure",30/3/2022
"Heliborne + The Amazing American Circus + Moonshine Inc. (Simplified Chinese, English, Japanese)",KLABATER,https://store.playstation.com/en-hk/product/UP4713-CUSA26661_00-0840934490665102,55%,HK$468.00,HK$210.60,13/3/2024 03:59 PM UTC,3.02,162,Action,29/9/2023
"In Celebration of Violence (English, Japanese)",eastasiasoft,https://store.playstation.com/en-hk/product/JP0078-CUSA19170_00-CELEBRATIONOFVIO,70%,HK$86.00,HK$25.80,13/3/2024 03:59 PM UTC,3.32,34,"Action, Role Playing Games",25/2/2021
LOST SPHEAR (Japanese Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-CUSA08584_00-ASIA000000000000,70%,HK$299.00,HK$89.70,13/3/2024 03:59 PM UTC,4.26,669,"Role Playing Games, Role Playing Games",23/10/2017
Reverse Crawl (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA12325_00-RCPS4SIEADIGI000,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,4.15,33,"Role Playing Games, Strategy, Strategy",17/1/2024
Straimium Immortaly (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA14990_00-SIPS4SIEADIGI001,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,4.07,27,"Action, Adventure, Action",17/1/2024
Verlet Swing (English/Chinese/Korean/Japanese Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA15193_00-VSPS4SIEADIGI001,30%,HK$108.00,HK$75.60,13/3/2024 03:59 PM UTC,4.39,46,"Action, Action, Simulation",17/1/2024
Vertical Drop Heroes HD (English Ver.),DIGERATI DISTRUBUTION AND MARKETING LLC,https://store.playstation.com/en-hk/product/UP2187-CUSA01696_00-VDHPS4000000000U,30%,HK$78.00,HK$54.60,13/3/2024 03:59 PM UTC,4.01,87,"Action, Action, Role Playing Games",17/1/2024
"Tales of ARISE PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA02796_00-TOARISEPS5000001,63%,HK$299.00,HK$110.63,28/2/2024 02:59 PM UTC,4.68,9k,Role Playing Games,8/9/2021
"Tales of Arise - Beyond the Dawn Edition PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA02796_00-BTDEDITION000000,34%,HK$479.00,HK$316.14,28/2/2024 02:59 PM UTC,4.68,9k,Role Playing Games,19/9/2023
"Tales of ARISE - Beyond the Dawn Deluxe Edition PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA02796_00-BTDDLXEDITION000,38%,HK$639.00,HK$396.18,28/2/2024 02:59 PM UTC,4.68,9k,Role Playing Games,19/9/2023
"Tales of Arise - Beyond the Dawn Ultimate Edition PS4™ & PS5® (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA02796_00-BTDULTEDITION000,40%,HK$799.00,HK$479.40,28/2/2024 02:59 PM UTC,4.68,9k,Role Playing Games,19/9/2023
Tales of Arise - Beyond the Dawn Expansion PS4™ & PS5® (Chinese/Korean Ver.),Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA02796_00-TOADLMISBTDAWNEX,30%,HK$239.00,HK$167.30,28/2/2024 02:59 PM UTC,5.0,1,Role Playing Games,8/11/2023
"Call of Duty®: Modern Warfare® III - Vault Edition (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",Activision,https://store.playstation.com/en-hk/product/HP0002-PPSA07953_00-CODMW3VAULT00001,20%,HK$789.00,HK$631.20,28/2/2024 03:59 PM UTC,4.04,282k,Action,2/11/2023
"Hogwarts Legacy: Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",Warner Bros. Interactive,https://store.playstation.com/en-hk/product/UP1018-PPSA01593_00-HOGWARTSLGCYDELX,40%,HK$628.00,HK$376.80,28/2/2024 03:59 PM UTC,4.5,30k,Unique,9/2/2023
"Lies of P (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",NEOWIZ,https://store.playstation.com/en-hk/product/HP1804-PPSA10623_00-6700122691247574,25%,HK$328.00,HK$246.00,28/2/2024 03:59 PM UTC,4.71,11k,"Action, Role Playing Games",15/9/2023
"God of War Ragnarök (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA08334_00-GOWRAGNAROK00000,43%,HK$568.00,HK$323.76,28/2/2024 02:59 PM UTC,4.85,71k,Action,8/11/2022
